transcript_id,LNCaP_DHT_RNA_rep1,LNCaP_DHT_RNA_rep2,LNCaP_Veh_RNA_rep1,LNCaP_Veh_RNA_rep2
NR_003228,0.857207,0.944242,0.419988,0.219743
NM_001128843,0.0,0.0,0.0,0.0
NM_003178,0.018682,0.019864,0.011991,0.0
NM_003179,0.266638,0.407802,0.340761,0.312788
NR_125919,0.0,0.0,0.0,0.0
NM_002889,0.0,0.0,0.0,0.0
NM_002888,0.0,0.0,0.0,0.0
NM_001098398,43.384911,28.582293,37.513206,22.99855
NM_001257360,4.831784,4.584826,5.361568,4.58294
NM_001257361,0.16106,0.049984,0.155159,0.072239
NM_002887,100.447426,100.096596,101.014824,102.046227
NM_002886,4.199135,4.151937,4.525461,4.596961
NM_002881,24.955605,24.610926,27.672447,27.946405
NM_002880,30.164993,29.022503,30.27677,29.791021
NM_002883,12.771534,12.931543,11.844061,11.951688
NM_002882,19.770052,17.231228,24.050383,28.406536
NM_001010860,11.526146,10.985262,11.315945,11.583411
NM_021246_6,0.021946,0.012638,0.021889,0.005624
NM_001014,495.022797,503.214355,496.856506,504.27887
NM_001081559,3.735877,3.499359,3.455781,3.236202
NM_001081552,0.0,0.0,0.0,0.0
NM_000344_5,1.593222,6.131996,1.330835,1.36417
NM_001081550,39.249199,39.44735,41.789452,43.071766
NM_001081551,0.0,0.0,0.0,0.0
NM_000344_4,1.649439,6.206921,1.401713,1.320146
NM_001005226_4,0.0,0.0,0.0,0.0
NM_133370,3.460081,0.0,0.0,3.807476
NR_026833,0.0,0.0,0.0,0.0
NM_017866,8.884389,8.896799,8.094429,7.923821
NM_000344_2,0.982295,4.868225,0.816014,0.960607
NM_001003789,0.757453,0.46382,0.880698,0.513199
NM_001003788,0.90956,0.864934,0.700364,0.997417
NM_001010897,0.055088,0.051363,0.072897,0.081057
NM_001010896,0.0,0.069913,0.0,0.0
NM_001010891,9.60345,7.512571,7.75003,7.512921
NM_001010890,0.0,0.0,0.0,0.0
NM_001010893,0.721151,0.591545,0.736097,0.728738
NM_013235,8.270219,8.808469,8.704979,7.390465
NM_001003785,8.350998,8.971954,13.497765,15.649772
NM_001010898,0.058176,0.060001,0.057851,0.048024
NM_001003787,1.085834,1.255778,0.393127,1.355456
NM_001003786,1.503928,1.538435,0.0,1.504701
NM_001178108,0.236185,0.335289,0.209672,0.197329
NM_013237,48.100296,48.31514,46.241062,45.791313
NR_109868,0.0,0.0,0.0,0.0
NM_133371,0.0,0.0,0.0,0.0
NM_014281_2,0.013855,0.002937,0.00998,0.00378
NM_013230,9.119435,8.98792,8.515225,8.26764
NM_014004,0.032368,0.070692,0.374926,0.016951
NM_014005,0.015079,0.008696,0.007375,0.013634
NM_014002,1.337978,0.691732,0.635572,0.836712
NM_014003,16.480715,16.412426,17.665014,17.655262
NM_014000,0.122293,0.085655,0.244751,0.098174
NM_014001,0.439151,1.218947,1.512167,1.551962
NM_015351,2.574304,2.455107,2.501908,2.5552
NM_015350,5.461484,5.583318,4.935805,0.758655
NM_015353,9.486857,9.403109,9.223957,8.931721
NM_015352,18.044291,18.557583,17.582073,18.172684
NM_015355,14.800298,14.929164,13.738047,14.355933
NM_013232,6.5447,6.607174,6.696674,7.125744
NM_001276395,0.0,0.0,0.0,0.0
NR_027346,0.0,0.0,0.0,0.0
NM_015358,19.551802,19.05818,24.321741,24.913622
NM_018584,118.203751,119.79599,132.342758,134.124069
NM_001278531,0.027297,0.027176,0.003085,0.098094
NM_000333,4.399306,4.51837,4.099504,4.122706
NR_027340,0.405441,0.291435,2.412504,0.041447
NR_027341,0.0,0.0,0.0,0.0
NM_002229,4.02247,4.412947,3.772594,3.792361
NM_002228,57.168499,58.112289,46.781792,47.323799
NM_000332,3.059779,3.583612,4.550629,3.243706
NM_001166139,3.974556,3.751995,3.694281,3.692677
NM_007003,0.242234,0.170212,0.332303,0.283044
NM_002221,5.58668,5.638453,5.003629,5.184923
NM_002220,0.176399,0.172629,0.115665,0.158326
NM_002223,2.457184,2.512094,2.613635,2.618704
NM_002222,5.045714,4.042703,5.858642,5.98622
NM_002225,11.415836,14.12587,10.312889,9.816144
NM_001166131,0.965471,0.024973,1.08729,0.049526
NM_002227,1.448006,1.433275,1.369069,1.400632
NM_000334,0.0,0.0,0.0,0.0
NM_001004060,7.044978,11.603395,7.71077,11.556659
NR_131339,0.547317,0.629278,0.535003,0.446416
NR_131338,0.0,0.000654,0.0,0.0
NM_001004065,0.0,0.0,0.0,0.0
NM_007105,0.056611,0.058582,0.025686,0.033528
NM_001004067,3.166404,3.514365,4.103077,3.834826
NM_001303119,0.0,0.0,0.0,0.0
NM_000336,0.066406,0.076783,0.035663,0.045907
NR_131337,0.015447,0.0,0.032334,0.004088
NR_120610,0.190597,0.0,0.092778,0.0
NM_001285450,0.219723,0.747317,0.205379,0.204736
NM_001017438_3,0.0,0.0,0.0,0.0
NR_039768,0.0,0.0,0.0,0.0
NM_001163560,0.02017,0.014397,0.0,0.028639
NM_001163561,0.0,0.0,0.0,0.0
NM_007005,0.0,0.0,0.0,0.0
NM_018055,0.141295,0.14417,0.087573,0.124678
NM_018054,0.570423,2.127228,1.830076,1.633585
NM_001255988,0.0,0.0,0.0,0.0
NM_018056,1.346042,1.384111,1.356764,1.487831
NM_018051,1.943145,1.895175,2.059164,1.962226
NM_018050,2.193876,2.187539,2.122834,2.341216
NM_018053,0.645923,0.611671,0.780734,0.613265
NM_018052,6.886277,6.714148,5.819699,6.094227
NR_033242,5.079522,5.187762,4.266816,4.16317
NM_001255983,0.0,0.0,0.0,0.0
NM_001255980,0.8711,0.727901,0.649136,0.474547
NM_001255981,4.850333,4.899194,3.647181,3.031978
NM_001255986,0.0,0.0,0.0,0.0
NM_018058,0.0,0.0,0.0,0.0
NM_001255984,0.0,0.0,0.0,0.0
NM_001255985,0.0,0.0,0.0,0.0
NM_001256253,0.0,0.0,0.0,0.0
NR_029379,0.171711,0.17698,0.075145,0.188572
NR_029378,2.620748,2.574389,2.603182,2.483514
NM_001122636,0.029515,0.030779,0.012395,0.0
NR_029375,4.133123,5.485364,5.75944,6.706101
NR_029374,0.023309,0.0,0.0,0.0
NR_029377,2.17561,2.286835,2.014796,2.293279
NR_029376,1.057677,1.02362,1.001331,1.05531
NR_120618,0.0,0.0,0.0,0.0
NR_029373,0.0,0.038981,0.034294,0.006256
NR_039760,0.0,0.0,0.0,0.0
NM_001199237_5,0.022427,0.03181,0.020744,0.021556
NM_001287593_7,0.015796,0.01135,0.033348,0.036926
NR_133001,0.014462,0.008829,0.035862,0.035475
NM_013289_6,0.0,0.0,0.0,0.0
NR_120546,0.0,0.0,0.0,0.0
NR_120547,0.0,0.0,0.0,0.0
NM_001300813,0.063489,6.105166,1.030878,3.888322
NM_001012968,3.595127,3.82949,3.220712,3.080227
NM_001256183,6.859025,6.50518,4.426636,7.192213
NM_001256182,4.19706,2.816715,6.920156,2.681992
NR_120540,0.282278,0.245282,0.285869,0.218203
NR_120541,0.0,0.0,0.0,0.0
NM_001199237_6,0.01291,0.027847,0.016607,0.013466
NR_120548,0.0,0.0,0.0,0.0
NR_120549,0.0,0.0,0.0,0.0
NM_001142352,0.0,0.0,0.0,0.0
NM_001142353,0.83858,2.378278,0.769499,0.951186
NM_001142350,2.809755,0.0,2.690774,2.70067
NM_001142351,0.0,0.0,0.0,0.0
NM_001142356,0.0,0.0,0.090033,0.0
NM_001142354,0.841902,0.991882,0.623905,0.818547
NM_001142355,1.454374,0.060931,0.0,0.782068
NM_001287593_4,0.018419,0.010983,0.032931,0.036483
NR_039907_5,0.0,0.0,0.0,0.0
NM_001207071_2,0.0,0.0,0.0,0.0
NR_039907_4,0.0,0.0,0.0,0.0
NM_003770_2,0.0,0.0,0.0,0.0
NM_057095,0.0,0.0,0.0,0.0
NM_014910,3.011195,2.51575,3.625448,3.903789
NM_014911,8.520289,8.355993,6.196634,6.094537
NM_014912,1.396785,1.646562,0.12246,0.098891
NM_014913,7.915303,7.789695,7.120492,7.621245
NM_014914,0.589281,0.688627,0.830681,0.752463
NM_014915,1.756169,1.448404,1.242358,2.867776
NM_014916,7.535279,7.370649,7.041142,7.319451
NM_014917,1.05799,1.055807,0.807465,0.890078
NM_014918,18.831781,18.434631,15.706141,16.001116
NM_001005332,6.468785,5.426979,5.080828,8.366899
NM_001005333,0.0,0.003054,0.006689,0.01113
NM_001005336,0.040569,0.049951,0.066048,0.042979
NM_001005337,0.0,0.0,0.0,0.0
NM_001005335,46.295803,58.250214,61.18771,63.762169
NM_176801,12.412837,8.910789,7.820586,9.707062
NM_001005338,0.0,0.0,0.0,0.0
NM_001005339,19.242336,18.581974,18.656281,20.077616
NM_176805,0.033307,0.041876,0.007971,0.015761
NM_001301289,37.456837,38.045368,6.285071,36.109303
NM_176806,14.804679,14.862846,14.510396,14.934584
NM_001167911,0.0,0.0,0.0,0.0
NR_033440,0.116495,0.011047,0.004252,0.002705
NM_001002814,6.412872,7.082197,6.095128,6.920928
NM_001032409,0.034971,0.038967,0.0,0.000661
NM_001002812,0.023935,0.030944,0.0,0.019429
NM_001002810,0.044483,0.012531,0.040193,0.049117
NM_001002811,5.242334,5.177663,5.592738,5.972269
NM_001206977,0.0,0.0,0.0,0.0
NM_001171625,1.988836,1.626053,1.333398,4.529579
NM_001171626,4.09483,4.186598,5.001877,6.255711
NM_001206974,1.315207,1.38112,1.522384,1.373335
NM_001474_2,4.355163,5.524891,4.261342,3.156723
NM_001206972,0.0,0.0,0.022683,0.0
NM_001206971,0.0,0.0,0.0,0.0
NM_001171623,0.000932,0.0,0.000749,0.000734
NM_001167915,0.029915,0.028995,0.013602,0.036415
NM_001171628,1.793658,3.010629,1.202041,1.124898
NM_001171629,0.863976,0.289346,0.0,0.527142
NM_001206979,0.0,0.0,0.0,0.0
NM_001206978,0.0,0.0,0.0,0.0
NM_021967_5,0.546681,0.560253,0.457728,1.063779
NM_001288649,0.04195,0.017634,0.002805,0.01981
NM_001288648,0.139948,0.185866,0.283341,0.319858
NM_001167917,0.0,0.0,0.0,0.0
NM_024318_3,0.0,0.0,0.0,0.0
NM_001288643,0.171464,0.242775,0.298417,0.418116
NM_001288642,0.784348,0.852516,0.36868,0.335856
NM_001288640,0.043454,0.03627,0.0,0.0
NM_001288647,0.041617,0.032479,0.151356,0.091692
NM_001294328,0.0,0.0,0.0,0.0
NM_001288645,1.409756,1.134446,1.544786,1.433089
NM_001288644,0.01158,0.014876,0.003082,0.027723
NM_001149,0.635948,0.527824,0.466762,0.477336
NM_001148,0.040113,0.014535,0.012377,0.034227
NM_004319,0.009562,0.010121,0.005259,0.016143
NM_004318,15.267371,17.00425,15.112305,15.019938
NM_001286555,2.149307,2.142962,1.661529,2.076801
NM_001286554,1.238468,1.311978,1.181761,1.297816
NM_001286556,0.0,0.0,0.0,0.037993
NM_001141,0.058746,0.064783,0.038609,0.051067
NM_001140,24.353531,24.560659,21.287317,22.110729
NM_004311,10.556863,10.594787,11.071744,11.107694
NM_004310,0.0,0.0,0.0,0.0
NM_001145,1.098851,0.999245,0.908523,1.01662
NM_001144,39.371132,38.526958,37.45784,37.631218
NM_001147,0.46811,0.380574,0.327854,0.409202
NM_004314,0.03079,0.067834,0.019948,0.01257
NM_001201473,0.001806,0.002723,0.0,0.0
NM_001201472,0.002178,0.00352,0.0,0.293468
NM_001201477,4.073965,5.775678,4.478806,4.447535
NM_001201476,0.062498,0.05468,0.151021,0.092934
NM_001201475,2.158598,3.008957,2.281993,3.444761
NM_001201474,2.625926,2.135121,2.98859,2.744255
NM_001001549,9.127633,0.0,10.98174,11.45599
NM_001001548,0.038003,0.04639,0.037876,0.021888
NM_001201479,0.0,0.0,0.0,0.0
NM_001201478,0.4323,0.489991,0.487328,0.302593
NR_026781_2,0.202088,0.190458,0.217358,0.225693
NR_030590,0.0,0.0,0.0,0.0
NM_001163125_2,0.014794,0.012914,0.007948,0.00996
NR_033863,0.0,0.0,0.0,0.0
NM_001097594_2,0.925478,5.946648,1.652236,2.006922
NM_025029,16.923563,17.136053,16.620289,17.324686
NR_037609_2,0.553244,0.552768,0.385604,0.407961
NM_001146327,6.314162,6.086564,7.141046,6.798618
NM_001146326,4.612872,5.322879,6.499182,6.082523
NR_102405,2.856686,3.212386,2.403363,2.587861
NR_102404,1.606385,1.939305,1.015119,1.53191
NM_001146322,0.002577,0.016747,0.005589,0.005746
NR_102401,0.001171,0.003574,0.003077,0.0
NR_102400,0.0,0.04385,0.0,0.0
NM_001206932_6,0.0,0.0,0.0,0.0
NM_024993,0.0,0.020517,0.023332,0.012175
NM_024991,0.0,0.0,0.0,1.461091
NR_126400_2,0.0,0.0,0.0,0.0
NM_024996,14.053311,13.889452,12.156708,13.839942
NR_073201,12.87996,14.575917,11.218488,7.065846
NM_001161580,0.513326,0.59786,0.739482,0.727918
NM_001289114,0.0,0.0,0.0,0.0
NM_001289115,0.172015,0.054898,0.305197,0.0
NM_001284348,0.232614,0.873006,0.413116,1.175243
NM_001284349,1.969189,1.88559,1.431958,1.508577
NM_001289110,0.0,0.0,0.0,0.0
NM_001289111,3.222495,2.56781,2.480879,2.961486
NM_001289112,0.011977,0.002784,0.019569,0.012272
NM_001289113,0.271635,0.5597,0.129553,0.424686
NM_001284342,3.930355,4.295599,2.184864,2.612905
NM_001284343,0.020832,0.004333,0.004973,0.045915
NM_001284340,0.0,0.0,0.0,0.0
NR_024065,0.006841,0.0,0.0,0.0
NR_024062,0.0,0.0,0.0,0.0
NM_001284347,1.224731,0.714312,0.811062,0.381536
NR_024061,3.364752,3.246663,3.52192,3.577939
NM_001166161,1.728401,0.573082,2.267794,0.854145
NM_001287602,0.0,0.0,0.0,0.0
NM_001287603,0.00693,0.027625,1.740498,0.863795
NM_001287600,0.0,0.0,0.0,0.0
NM_001287601,0.721351,0.592771,0.776312,0.582851
NM_198881,0.195673,0.461369,0.632594,0.779774
NM_198880,9.858272,10.152264,10.507925,10.293259
NM_001287604,1.805899,2.429261,1.428019,2.185904
NM_198882,0.004289,0.002976,0.001325,0.411476
NR_073568,0.0,0.0,0.077054,0.0
NM_198889,13.270057,12.811325,12.828773,14.175081
NM_001161546,0.444913,0.417162,0.397761,0.414765
NM_024033,6.567141,6.440742,5.873114,6.762512
NM_001206932_5,0.0,0.0,0.0,0.0
NM_145274,3.307735,3.32495,2.922547,3.018665
NM_145276,3.030771,3.340652,2.989511,3.240125
NM_145277,0.0,0.0,0.0,0.0
NM_145270,0.008908,0.0,0.009396,0.0
NM_145271,2.272034,2.290336,2.188294,2.325009
NM_145272,0.0,0.024028,0.010361,0.050839
NM_145273,0.0,0.0,0.0,0.0
NR_109867,0.0,0.007909,0.0,0.0
NM_145278,0.0,0.0,0.0,0.0
NM_145279,0.059007,0.050348,0.02745,0.049105
NM_001164281,0.307458,0.488193,0.195646,0.223083
NM_001184789,0.0,0.0,0.0,0.033735
NM_001184788,0.0,0.002902,0.0,0.002503
NM_001184783,0.425399,0.500805,0.330717,0.406083
NM_001184782,0.016266,0.010576,0.002243,0.018579
NM_001184781,7.115322,7.092498,5.622867,7.059771
NM_001184780,0.0,0.0,0.0,0.0
NM_001184787,0.423123,0.037484,0.032504,0.003155
NM_001184786,0.985124,0.342212,0.0,0.23417
NM_001184785,0.715641,0.000897,0.0,4.8e-05
NM_020721,0.009647,0.007714,0.003493,0.013562
NM_001206932_3,0.0,0.0,0.0,0.0
NM_001287758,0.156258,0.131059,0.145969,0.179552
NM_001164283,0.004373,0.010272,0.010217,0.005711
NM_021828,0.0,0.0,0.0,0.0
NM_001287759,0.0,0.0,0.0,0.0
NM_021821,41.863548,42.458023,36.080051,37.046921
NM_021822,0.210148,0.194043,0.231538,0.238517
NM_021823,1.233134,1.075911,1.248394,1.448956
NM_021824,8.068684,10.451361,12.10892,11.511353
NM_021825,2.920442,1.935006,2.102229,2.237692
NM_021826,12.166325,12.563128,13.748511,13.776742
NM_021827,0.0,0.0,0.0,0.0
NR_106753,0.0,0.0,0.0,0.0
NM_078468,20.92577,21.658453,23.33506,23.51996
NM_078469,12.200811,12.831099,13.036423,13.095601
NM_145858,15.965614,16.44404,14.043611,13.977202
NM_145859,21.108643,20.295788,24.716837,24.708729
NM_001289021,0.0,0.0,0.0,0.0
NM_177537_2,0.361239,0.0,0.282783,0.271813
NR_106752,0.0,0.0,0.0,0.0
NM_001100916,0.039585,0.034513,0.056528,0.064868
NM_001100917,0.0,0.0,0.0,0.0
NM_001100915,0.039641,0.020194,0.034789,0.024029
NM_001100912,2.116035,2.469497,2.90311,2.534842
NM_001100913,0.006215,0.002115,0.00242,0.009717
NM_001100910,1.588862,1.593314,1.874596,1.94037
NM_033387,0.823795,0.855449,0.965825,0.961209
NR_026575,0.369774,0.321956,0.295389,0.333618
NR_033380_2,0.116353,0.109007,0.081267,0.107648
NM_002346_2,0.763135,0.815738,0.597377,1.14254
NM_001171630,0.056494,0.261432,0.244614,0.080336
NR_026578,62.029686,63.528568,76.358139,76.329094
NM_001286234,0.0,0.0,0.0,0.0
NM_001286235,0.0,0.0,0.0,0.0
NM_001286236,0.0,0.0,0.0,0.0
NM_001286237,0.0,0.0,0.0,0.0
NM_001286230,1.151176,1.317094,0.777224,1.158727
NM_001286233,0.011409,0.020928,0.002983,0.0
NM_001286238,0.302688,0.313678,0.293805,0.478711
NM_001286239,0.0,0.0,0.0,0.0
NR_106750,0.0,0.0,0.0,0.0
NM_001204418,0.0,0.0,0.0,0.0
NM_001204419,0.0,0.0,0.0,0.0
NM_001204416,0.0,0.0,0.0,0.0
NM_001204417,0.0,0.0,0.0,0.0
NM_001204414,0.0,0.0,0.0,0.0
NM_001204415,0.0,0.0,0.0,0.0
NM_001204410,1.11921,0.205257,0.154613,0.982785
NR_110545,0.0,0.0,0.0,0.0
NR_110544,0.0,0.0,0.0,0.0
NR_110547,0.0,0.0,0.0,0.0
NR_110546,0.082291,0.098491,0.06471,0.0
NR_110886_5,0.081159,0.0,0.303718,0.590292
NR_110886_4,0.038771,0.0,0.201149,0.463602
NM_001105247,0.819692,0.534793,0.886983,0.921507
