ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT
PPFIBP1	PPFIA binding protein 1(PPFIBP1)	Homo sapiens	GO:0007155~cell adhesion,GO:0007528~neuromuscular junction development,GO:0050808~synapse organization,	GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0005925~focal adhesion,GO:0048786~presynaptic active zone,	GO:0005515~protein binding,GO:0045296~cadherin binding,
RABL3	RAB, member of RAS oncogene family like 3(RABL3)	Homo sapiens	GO:0001779~natural killer cell differentiation,GO:0006886~intracellular protein transport,GO:0030183~B cell differentiation,GO:0033077~T cell differentiation in thymus,GO:0046578~regulation of Ras protein signal transduction,GO:0050821~protein stabilization,GO:1903059~regulation of protein lipidation,	GO:0012505~endomembrane system,	GO:0003924~GTPase activity,GO:0005515~protein binding,GO:0005525~GTP binding,GO:0042803~protein homodimerization activity,
SDAD1	SDA1 domain containing 1(SDAD1)	Homo sapiens	GO:0000055~ribosomal large subunit export from nucleus,GO:0015031~protein transport,GO:0030036~actin cytoskeleton organization,GO:0042273~ribosomal large subunit biogenesis,	GO:0005654~nucleoplasm,GO:0005730~nucleolus,
STEAP2	STEAP2 metalloreductase(STEAP2)	Homo sapiens	GO:0006893~Golgi to plasma membrane transport,GO:0006897~endocytosis,GO:0009725~response to hormone,GO:0015677~copper ion import,GO:0045055~regulated exocytosis,GO:0055072~iron ion homeostasis,GO:0098705~copper ion import across plasma membrane,GO:0098711~iron ion import across plasma membrane,	GO:0000139~Golgi membrane,GO:0005768~endosome,GO:0005769~early endosome,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0010008~endosome membrane,GO:0016021~integral component of membrane,GO:0030140~trans-Golgi network transport vesicle,GO:0030173~integral component of Golgi membrane,	GO:0008823~cupric reductase activity,GO:0046872~metal ion binding,GO:0052851~ferric-chelate reductase (NADPH) activity,
STEAP4	STEAP4 metalloreductase(STEAP4)	Homo sapiens	GO:0015677~copper ion import,GO:0022900~electron transport chain,GO:0033212~iron assimilation,GO:0034755~iron ion transmembrane transport,GO:0045444~fat cell differentiation,GO:0070207~protein homotrimerization,	GO:0000139~Golgi membrane,GO:0005654~nucleoplasm,GO:0005768~endosome,GO:0005886~plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0031901~early endosome membrane,GO:0070062~extracellular exosome,	GO:0008823~cupric reductase activity,GO:0009055~electron carrier activity,GO:0020037~heme binding,GO:0046872~metal ion binding,GO:0052851~ferric-chelate reductase (NADPH) activity,GO:0071949~FAD binding,
U2AF2	U2 small nuclear RNA auxiliary factor 2(U2AF2)	Homo sapiens	GO:0000398~mRNA splicing, via spliceosome,GO:0006397~mRNA processing,GO:0008380~RNA splicing,GO:0031397~negative regulation of protein ubiquitination,GO:0033120~positive regulation of RNA splicing,GO:0048025~negative regulation of mRNA splicing, via spliceosome,	GO:0000243~commitment complex,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005681~spliceosomal complex,GO:0016607~nuclear speck,GO:0071004~U2-type prespliceosome,GO:0089701~U2AF,	GO:0003723~RNA binding,GO:0005515~protein binding,GO:0008187~poly-pyrimidine tract binding,GO:0019899~enzyme binding,GO:0030628~pre-mRNA 3'-splice site binding,GO:0070742~C2H2 zinc finger domain binding,
YIPF5	Yip1 domain family member 5(YIPF5)	Homo sapiens	GO:0006888~ER to Golgi vesicle-mediated transport,GO:0015031~protein transport,GO:0030070~insulin processing,GO:0048280~vesicle fusion with Golgi apparatus,GO:0060628~regulation of ER to Golgi vesicle-mediated transport,	GO:0005654~nucleoplasm,GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0005794~Golgi apparatus,GO:0005802~trans-Golgi network,GO:0016021~integral component of membrane,GO:0030134~ER to Golgi transport vesicle,GO:0043231~intracellular membrane-bounded organelle,GO:0070971~endoplasmic reticulum exit site,	GO:0005515~protein binding,
ABHD17A	abhydrolase domain containing 17A, depalmitoylase(ABHD17A)	Homo sapiens	GO:0002084~protein depalmitoylation,GO:0072657~protein localization to membrane,GO:1902817~negative regulation of protein localization to microtubule,GO:1905668~positive regulation of protein localization to endosome,	GO:0005886~plasma membrane,GO:0010008~endosome membrane,GO:0016020~membrane,GO:0016607~nuclear speck,GO:0043197~dendritic spine,GO:0043231~intracellular membrane-bounded organelle,GO:0055038~recycling endosome membrane,GO:0098839~postsynaptic density membrane,GO:0098944~postsynaptic recycling endosome membrane,GO:0098978~glutamatergic synapse,GO:0099031~anchored component of postsynaptic density membrane,GO:0099033~anchored component of postsynaptic recycling endosome membrane,	GO:0005515~protein binding,GO:0008474~palmitoyl-(protein) hydrolase activity,
ARPC5	actin related protein 2/3 complex subunit 5(ARPC5)	Homo sapiens	GO:0014909~smooth muscle cell migration,GO:0016477~cell migration,GO:0021769~orbitofrontal cortex development,GO:0030011~maintenance of cell polarity,GO:0030036~actin cytoskeleton organization,GO:0030833~regulation of actin filament polymerization,GO:0034314~Arp2/3 complex-mediated actin nucleation,GO:0051639~actin filament network formation,GO:0061842~microtubule organizing center localization,GO:0097581~lamellipodium organization,	GO:0005576~extracellular region,GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005768~endosome,GO:0005829~cytosol,GO:0005885~Arp2/3 protein complex,GO:0005925~focal adhesion,GO:0015629~actin cytoskeleton,GO:0030027~lamellipodium,GO:0030426~growth cone,GO:0034774~secretory granule lumen,GO:0035861~site of double-strand break,GO:0070062~extracellular exosome,GO:1904813~ficolin-1-rich granule lumen,	GO:0003779~actin binding,GO:0005200~structural constituent of cytoskeleton,GO:0005515~protein binding,GO:0051015~actin filament binding,
ACADVL	acyl-CoA dehydrogenase very long chain(ACADVL)	Homo sapiens	GO:0001659~temperature homeostasis,GO:0006082~organic acid metabolic process,GO:0006629~lipid metabolic process,GO:0009409~response to cold,GO:0015980~energy derivation by oxidation of organic compounds,GO:0030855~epithelial cell differentiation,GO:0033539~fatty acid beta-oxidation using acyl-CoA dehydrogenase,GO:0045717~negative regulation of fatty acid biosynthetic process,GO:0046322~negative regulation of fatty acid oxidation,GO:0090181~regulation of cholesterol metabolic process,	GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0005739~mitochondrion,GO:0005743~mitochondrial inner membrane,GO:0005759~mitochondrial matrix,GO:0031314~extrinsic component of mitochondrial inner membrane,GO:0031966~mitochondrial membrane,GO:0042645~mitochondrial nucleoid,	GO:0000062~fatty-acyl-CoA binding,GO:0003995~acyl-CoA dehydrogenase activity,GO:0004466~long-chain-acyl-CoA dehydrogenase activity,GO:0005515~protein binding,GO:0016627~oxidoreductase activity, acting on the CH-CH group of donors,GO:0017099~very-long-chain-acyl-CoA dehydrogenase activity,GO:0042802~identical protein binding,GO:0050660~flavin adenine dinucleotide binding,
ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide(ADH1C)	Homo sapiens	GO:0006069~ethanol oxidation,GO:0042572~retinol metabolic process,GO:0042573~retinoic acid metabolic process,	GO:0005654~nucleoplasm,GO:0005829~cytosol,GO:0005886~plasma membrane,	GO:0004022~alcohol dehydrogenase (NAD) activity,GO:0004024~alcohol dehydrogenase activity, zinc-dependent,GO:0004745~retinol dehydrogenase activity,GO:0008270~zinc ion binding,GO:0016491~oxidoreductase activity,
CALU	calumenin(CALU)	Homo sapiens		GO:0005576~extracellular region,GO:0005783~endoplasmic reticulum,GO:0005788~endoplasmic reticulum lumen,GO:0005789~endoplasmic reticulum membrane,GO:0005794~Golgi apparatus,GO:0016020~membrane,GO:0033018~sarcoplasmic reticulum lumen,GO:0042470~melanosome,	GO:0005509~calcium ion binding,GO:0005515~protein binding,
CBX4	chromobox 4(CBX4)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0006325~chromatin organization,GO:0016925~protein sumoylation,GO:0043066~negative regulation of apoptotic process,GO:0045892~negative regulation of transcription, DNA-templated,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0016604~nuclear body,GO:0016607~nuclear speck,GO:0031519~PcG protein complex,GO:0035102~PRC1 complex,	GO:0000976~transcription regulatory region sequence-specific DNA binding,GO:0003682~chromatin binding,GO:0003714~transcription corepressor activity,GO:0003727~single-stranded RNA binding,GO:0005515~protein binding,GO:0019789~SUMO transferase activity,GO:0019899~enzyme binding,GO:0032183~SUMO binding,GO:0035064~methylated histone binding,GO:0051219~phosphoprotein binding,GO:0061665~SUMO ligase activity,
CLDN12	claudin 12(CLDN12)	Homo sapiens	GO:0016338~calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules,GO:0035633~maintenance of permeability of blood-brain barrier,	GO:0005886~plasma membrane,GO:0005923~bicellular tight junction,GO:0016021~integral component of membrane,GO:0016328~lateral plasma membrane,	GO:0005515~protein binding,GO:0042802~identical protein binding,
CLDN8	claudin 8(CLDN8)	Homo sapiens	GO:0007155~cell adhesion,GO:0016338~calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules,GO:0070830~bicellular tight junction assembly,	GO:0005783~endoplasmic reticulum,GO:0005886~plasma membrane,GO:0005923~bicellular tight junction,GO:0016021~integral component of membrane,GO:0016323~basolateral plasma membrane,GO:0016327~apicolateral plasma membrane,	GO:0005198~structural molecule activity,GO:0005515~protein binding,GO:0042802~identical protein binding,
CCNA2	cyclin A2(CCNA2)	Homo sapiens	GO:0000079~regulation of cyclin-dependent protein serine/threonine kinase activity,GO:0000086~G2/M transition of mitotic cell cycle,GO:0006275~regulation of DNA replication,GO:0006351~transcription, DNA-templated,GO:0007265~Ras protein signal transduction,GO:0016572~histone phosphorylation,GO:0031100~animal organ regeneration,GO:0033762~response to glucagon,GO:0036120~cellular response to platelet-derived growth factor stimulus,GO:0043687~post-translational protein modification,GO:0044320~cellular response to leptin stimulus,GO:0044772~mitotic cell cycle phase transition,GO:0044843~cell cycle G1/S phase transition,GO:0045893~positive regulation of transcription, DNA-templated,GO:0048146~positive regulation of fibroblast proliferation,GO:0051301~cell division,GO:0071314~cellular response to cocaine,GO:0071373~cellular response to luteinizing hormone stimulus,GO:0071392~cellular response to estradiol stimulus,GO:0071456~cellular response to hypoxia,GO:0071732~cellular response to nitric oxide,GO:0090102~cochlea development,GO:1990314~cellular response to insulin-like growth factor stimulus,	GO:0000307~cyclin-dependent protein kinase holoenzyme complex,GO:0001939~female pronucleus,GO:0001940~male pronucleus,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0097124~cyclin A2-CDK2 complex,	GO:0005515~protein binding,GO:0016538~cyclin-dependent protein serine/threonine kinase regulator activity,GO:0019901~protein kinase binding,GO:0019904~protein domain specific binding,
